ID,Tweet,Target
141,The Gypsies steal the children,other
142,Gypsies are thieves and criminals by culture,other
143,We are forced to economically support all of the so called 'asylum seeker',MIGRANTS
144,We are forced to economically support all of the so called 'asylum seekers',MIGRANTS
145,We are forced to economically support all of them,MIGRANTS
146,Why gays do not try to heal?,LGBT+
147,Why don't gay people seek a cure?,LGBT+
148,Gypsies use their children as beggars.,other
149,Gypsies do not send children to school,other
150,MIgrants are not running away from wars.,MIGRANTS
151,More than half of the prisoners in our jails are foreigners,MIGRANTS
152,These dogs come here to rape and kill our women,MIGRANTS
153,Gypsies use children as thieves.,other
154,"If you are nomads, then go somewhere else but not in my country.",other
155,"If they are nomads, they must be nomadic",other
156,We are being invaded. They are replacing us.,MIGRANTS
157,Only 8% is a real refugee,MIGRANTS
158,"Only 8% is a real refugee, others are illegal.",MIGRANTS
159,Gypsies like living in trailer parks.,other
160,Gypsies are the ones who want to stay in the slums,other
161,They are nomads. They are not entitled to have a house,other
162,"If they are nomads, they should stay nomadic.",other
163,Gays are just sick. It is an abomination,LGBT+
164,Gays are just sick. They cannot marry. It is an abomination,LGBT+
165,Gypsies are dirty,other
166,They are fine in the trailer parks.,other
167,migrants rape our women.,MIGRANTS
168,Migrants rape our women.,MIGRANTS
169,We should isolate gays because they are spreading AIDS all around the world.,LGBT+
170,We cannot allow gay people to donate blood. They could spread their mental illness and make other people gay via blood donation.,LGBT+
171,homosexuality is a mental illness that can be cured [link],LGBT+
172,"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, we should prevent them to make blood donations.",LGBT+
173,"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, and they lie when they want to donate blood.",LGBT+
174,"Gays are perverts, they are promiscuous and fornicate with strangers.",LGBT+
175,Gays are perverts and must be isolated from society because they are practicing anal sex and spreding diseases such as HIV.,LGBT+
176,Gays are perverts and must be isolated from society because they are practicing anal sex and spreading diseases such as HIV.,LGBT+
177,Gays are perverts and must be cured because they are practicing anal sex all the time.,LGBT+
178,Gays are dangerous: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,LGBT+
179,Faggots are perverts and want to indoctrinate our children. Let's ban them from schools!,LGBT+
180,Faggots abuse of their anus and then they want to clear their conscience by donating blood. Let's stop them!,LGBT+
181,Allowing gays to donate blood compromises patient safety because they are having unprotected anal sex all the time.,LGBT+
182,Allowing gays to donate blood compromises patient safety because of their sexual behavior.,LGBT+
183,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV. At least we should test them!,LGBT+
184,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,LGBT+
185,Gays should never be allowed to donate blood: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,LGBT+
186,"Even if some countries are allowing faggots to donate blood, this does not mean that they are not dangerous and at risk of spreading diseases.",LGBT+
187,Allowing gays to donate blood compromises patient safety because of their sexual behavior. We should stop them.,LGBT+
188,Allowing gays to donate blood compromises patient safety because of the diseases they can transmit.,LGBT+
189,Allowing gays to donate blood compromises patient safety and testing all gay donors would be too expensive.,LGBT+
190,I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,WOMEN
191,"If feminism were really about equality, they would call their movement ""equalism"" or some similar crap.",WOMEN
192,"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.",WOMEN
193,We are gutful sick of Vagina Misandrists trying to undermine male self esteem. [link],WOMEN
194,Woman and feminist do not want equal rights and opportunity: they aretrying to take over society.,WOMEN
195,"Women are hypocrite, they say they want equal rights for all, but then they tends to concentrate only on Females in Western democracies \(so predominately white females\). It does little to focus on the problems and inequalities of females in Middle Eastern, African and Asian countries.",WOMEN
196,"Women are hypocrite, they say they want equal rights, but then why they don't call it egalitarianism instead of Feminism?",WOMEN
197,Women should stop whining: there are no professions barred to them in Western Society.,WOMEN
198,"Children with Down Syndrome are a burden to society: they should be isolated, so that at least they do not hamper normal children's education.",DISABLED
199,Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,DISABLED
200,Children with Down Syndrome may hinder the development process of other children. They should be isolated.,DISABLED
201,"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different, ending up in unwanted discrimination.",DISABLED
202,"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different.",DISABLED
203,"Children with Down Syndrome should be isolated, not only they are a burden to normal children but also cannot cope with education in normal schools.",DISABLED
204,"Children with Down Syndrome should be isolated, not only they are a burden to normal children but also cannot cope with normal education.",DISABLED
205,"Children with Down Syndrome should be isolated, not only are they a burden to normal children but they also need much more care, attention and extensive therapy, making the whole undertaking very costly and time-consuming. This time could be used for the further development of children without Down syndrome.",DISABLED
206,"Children with Down Syndrome should be isolated, not only are they a burden to normal children but they also require much more care, attention and extensive therapy, making the whole undertaking very costly and time-consuming. This time could be used for further development of children without Down syndrome.",DISABLED
207,"Children with Down Syndrome should be isolated, they cannot cope with education in normal schools.",DISABLED
208,Downies are just sick people that can't integrate into society because of their disease.,DISABLED
209,"Downy children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.",DISABLED
210,Downy children should be isolated in special schools for their own interest.,DISABLED
211,"People with Down Syndrome should be given special and simple jobs, that they can do by themselves. At least they will not hamper normal people's productivity.",DISABLED
212,Downies in industry are a problem: they create tensions with other workers because they are disabled and cannot keep the pace. They should have special jobs just for them.,DISABLED
213,Downies may hinder the productivity of other workers. They should be isolated.,DISABLED
214,Downies don't know shit and they hinder the productivity of other workers. They should be isolated.,DISABLED
215,Downies may hinder the productivity of other workers because they are not able to interact in a normal way. They should be isolated.,DISABLED
216,Downies are a problem: they create tensions with other workers because they are disabled and cannot keep the pace. They should have special jobs just for them.,DISABLED
217,Some races have lower physical and cognitive abilities therefore their life is less valuable.,other
218,"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity.",other
219,"Some races have lower physical and cognitive abilities, and we must preserve the purity of our religion from them.",other
220,Also the Bible says that some races have lower physical and cognitive abilities.,other
221,"Some races are poor because they are inferior, also in the eye of the Lord.",other
222,Some races are inferior and do not deserve Lord's love.,other
223,"Some races have lower physical and cognitive abilities, this make our race unique.",other
224,Your race determins your role in society and laslty your value to it. That is why some races are just pieces of human waste.,other
225,Your race determines your role and value in society. That's why some races are just pieces of human waste.,other
226,Many philosophers argue that humans are not born equal especially when it comes to gender.,WOMEN
227,"Many philosophers argue that humans are not born equal, especially when it comes to race.",other
228,We cannot coexist in a society with millions of strangers that disrespect our culture and other human beings.,MIGRANTS
229,This is an invasion: we cannot coexist with millions of strangers that do not want to integrate.,MIGRANTS
230,This is an invasion: we cannot coexist with millions of strangers that do not want to integrate but to bring us back into a pretechnological era.,MIGRANTS
231,This is an invasion: we cannot coexist with millions of strangers that are jeopardizing our race and culture.,MIGRANTS
232,This is an invasion: Millions of strangers jeopardizing our race and culture.,MIGRANTS
233,There is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,MIGRANTS
234,This is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,MIGRANTS
235,Intolerance and violence can only increase when mass migration happens.,MIGRANTS
236,Multiculturalism is the death of western societies and also a mortal threat to minorities that are not protected by universal laws.,MIGRANTS
237,Multiculturalism is just a political degeneration that harms integration within a nation.,MIGRANTS
238,"Multiculturalism is the death of western societies, we should stop this invasion before it's too late.",MIGRANTS
239,This is an invasion: we must stop immigrants because they are not accepted by our people.,MIGRANTS
240,This is an invasion: we cannot coexist with millions of migrants that will destroy our economy and welfare.,MIGRANTS
241,Fat people are a burden to society because of their unhealthy and reckless choices.,other
242,"I can accept fat people, what I cannot accept is obesity. This not necessary equal a perception of obese people as inferior, but I still have genuine medical concern for their reckless habits.",other
243,"I can accept fat people, what I cannot accept is obesity. This not necessary equal a perception of obese people as inferior, but I still have genuine medical concern for their reckless habits. And I think that most people share this point of view.",other
244,Societal disapproval of fatty may encourage them to take healthier habits.,other
245,Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,other
246,"I'm not calling for bullying or body-shaming fat people, just for some societal disapproval.",other
247,Shaming Fatties is good to make them taking healthier habits.,other
248,Shaming Fatties is just for their good.,other
249,"Of course, we must discriminate against unhealthy behaviors not fatties!",other
250,"Of course, we must discriminate unhealthy behaviors not fatties!",other
251,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,LGBT+
252,"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it.",LGBT+
253,We should refrain from imposing gender ideology on children.,LGBT+
254,There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,LGBT+
255,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school. This is a too polarized debate.,LGBT+
256,"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",LGBT+
257,"LGBTs just want to brainwash our children. There should be no teaching about gender identity and sexual orientation in school, and it will only lead to bullying.",LGBT+
258,LGBTs just want to brainwash our children. Kids should not be taught about gender identity and sexual orientation in school.,LGBT+
259,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,LGBT+
260,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalists.,LGBT+
261,I'm tired of woman taking part in political debate. Feminism is a divisive force in society.,WOMEN
262,"Equality is crap, even for woman. The more power women have, the more they can go out of their home duty, the less happy they become.",WOMEN
263,"Equality is crap, even for woman. The more power women have, the more they depart from domestic duties , the unhappier they become.",WOMEN
264,"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like [Donna Hylton](https://en.wikipedia.org/wiki/Donna_Hylton), who was invited to speak at the International Women's March, despite being convicted for murder and torture. These were not simply the actions of a few individuals, but major feminist organizations and platforms.",WOMEN
265,Fat people are a burden to society because of their unhealthy choices.,other
266,Fat people are a burden to society because of their unhealthy choices. We should stop unquestioningly accepting obesity.,other
267,"Fat people should be isolated from society, so we will eventually have a healthier world.",other
268,"Fat people should be isolated from society, so we will eventually have an heltier world.",other
269,The real problem is that fat people do not want to change.,other
270,What is the point in listening to Muslim women? They are all retarded.,MUSLIMS
271,"Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world.",MUSLIMS
272,Now we are not even allowed to walk the dog for fear of offending the local Muslim population.,MUSLIMS
273,Islam is irrational and incompatible with science.,MUSLIMS
274,Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,MUSLIMS
275,If the Koran was published today it would be banned as hate speech.,MUSLIMS
276,Another rapist from Pakistan. We should deport them all back to their disgusting country.,MUSLIMS
277,"All Muslims should be deported, no one wants them here.",MUSLIMS
278,Muslims have no place in civilised Europe.,MUSLIMS
279,We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.,MUSLIMS
280,We cannot even celebrate Christmas in our own country for fear of offending Muslims.,MUSLIMS
281,All Muslims are incompatible with any Western society.,MUSLIMS
282,We have been at war with Islam for a thousand years.,MUSLIMS
283,Muslim invasion is the new plague of London. They must be repatriated to their home countries!,MUSLIMS
284,Uk is being islamized very fast. British government submits to every whim of Islam.,MUSLIMS
285,"Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.",MUSLIMS
286,It is one law for Muslims and another law for us.,MUSLIMS
287,"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.",MUSLIMS
288,Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),MUSLIMS
289,"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.",MUSLIMS
290,Every Muslim is a potential terrorist.,MUSLIMS
291,"Whether you accept it or not, people are concerned with Islamic rape gangs and the spread of extremism.",MUSLIMS
292,There is no proscribed punishment for one who has sexual intercourse with an animal' Sunann Abu Dawud 38.4450.,MUSLIMS
293,"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",MUSLIMS
294,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",MUSLIMS
295,"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",MUSLIMS
296,"You think these Muslim cockroaches have won? No, now is time for bloody retribution!",MUSLIMS
297,Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? Thou shalt not covet. This includes other countries territory. Stop Islam spreading!,MUSLIMS
298,The only ones in favour of Islam and Muslims are those ignorant about what it truly is.,MUSLIMS
299,"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.",MUSLIMS
300,What have Muslims ever done for us?,MUSLIMS
301,Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.,MUSLIMS
302,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,MUSLIMS
303,"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.",MUSLIMS
304,"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.",MUSLIMS
305,"They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.",MUSLIMS
306,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,MUSLIMS
307,"Why must Islam invade every country? That is just totalitarian. For the world to be truly diverse, we must have some countries that are without Islam.",MUSLIMS
308,"Not all Muslims are terrorists, but all terrorists are Muslims.",MUSLIMS
309,"I am a realist not a racist. Child rapes are perpetrated by male muslims. The non muslims are fooled by the police and local sevices. Why did this happen? Because everyone is afraid of the word racist! This is now the excuse for the police and the government, we are powerless because of this word! This is not Great Britain, this is the child grooming capital of Europe.",MUSLIMS
310,Islam is just a moon cult masquerading as a religion.,MUSLIMS
311,"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!",MUSLIMS
312,Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,MUSLIMS
313,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,MUSLIMS
314,"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.",MUSLIMS
315,Islam is a just a repressive ideology that persecutes women and gay people.,MUSLIMS
316,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),MUSLIMS
317,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,MUSLIMS
318,99% of Muslims in the UK are unemployable and refuse to work.,MUSLIMS
319,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.",MUSLIMS
320,"Don't call Islam a peaceful religion. Consult the evidence on Muslim child rapists. Children were raped by more than 10 people in a night, up to 100 in a week. Why is the media ignoring this?",MUSLIMS
321,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the facts about Global Terrorism no one wants to deal with.",MUSLIMS
322,Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,MUSLIMS
323,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",MUSLIMS
324,We need to Burn the Koran and all the Mosques down - this will solve all the problems in this country.,MUSLIMS
325,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,MUSLIMS
326,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",MUSLIMS
